userid,num_rows,num_attempts,mean_score_pct,median_score_pct,num_quizzes_taken,avg_time_spent_seconds,total_events,unique_courses,first_activity,last_activity,num_views,num_reports,active_days,events_per_day,engagement_score,consistency_score,performance_category,cluster,ml_cluster
10824,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-05 11:54:13,2024-11-12 12:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
10829,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-05 11:56:00,2024-11-12 12:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
12228,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-05 16:10:54,2024-11-12 16:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
12239,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-05 16:14:55,2024-11-12 16:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
13460,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2024-10-27 23:57:42,2025-01-14 21:19:31,0.0,0.0,78.0,0.06,83.0,0.06,Low,0,0
14275,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,2024-09-21 17:46:54,2025-01-18 21:58:28,0.0,0.0,119.0,0.38,164.0,0.38,Low,0,0
14428,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2024-10-01 19:18:51,2025-01-14 21:19:32,0.0,0.0,105.0,0.09,114.0,0.09,Low,0,0
14675,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,2024-09-30 21:21:28,2025-01-18 15:30:52,0.0,0.0,109.0,0.36,148.0,0.36,Low,0,0
14708,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-06 03:19:44,2024-11-13 03:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
14828,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2024-10-04 14:47:12,2025-01-14 21:19:32,0.0,0.0,102.0,0.11,113.0,0.11,Low,0,0
15017,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-06 05:13:32,2024-11-13 05:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
15159,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,2024-09-27 11:55:40,2025-01-18 22:01:51,0.0,0.0,113.0,0.27,144.0,0.27,Low,0,0
16589,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-06 10:13:18,2024-11-13 10:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
17682,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-06 13:28:32,2024-11-13 13:30:05,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
